,液状化履歴,geometry
0,1923_激しい液状化が生じた地域をおおよそ確定可,"POLYGON ((15550985.32212791 4237452.276204098, 15550985.323829167 4237737.379639891, 15551333.197779018 4237737.37878483, 15551333.196077766 4237452.275372815, 15550985.32212791 4237452.276204098))"
1,1923_激しい液状化が生じた地域をおおよそ確定可,"POLYGON ((15551681.066549437 4236882.363414617, 15551681.068249883 4237167.315218865, 15552028.94212245 4237167.31426886, 15552028.940422004 4236882.3624646375, 15551681.066549437 4236882.363414617))"
2,1923_激しい液状化が生じた地域をおおよそ確定可,"POLYGON ((15552028.940422004 4236882.3624646375, 15552028.94212245 4237167.31426886, 15552376.81599501 4237167.313318857, 15552376.814294567 4236882.361514658, 15552028.940422004 4236882.3624646375))"
3,1923_激しい液状化が生じた地域をおおよそ確定可,"POLYGON ((15551333.19437732 4237167.316168869, 15551333.196077766 4237452.275372815, 15551681.06995033 4237452.274422785, 15551681.068249883 4237167.315218865, 15551333.19437732 4237167.316168869))"
4,1923_激しい液状化が生じた地域をおおよそ確定可,"POLYGON ((15551681.068249883 4237167.315218865, 15551681.06995033 4237452.274422785, 15552028.943822892 4237452.273472755, 15552028.94212245 4237167.31426886, 15551681.068249883 4237167.315218865))"
5,1923_激しい液状化が生じた地域をおおよそ確定可,"POLYGON ((15551333.196077766 4237452.275372815, 15551333.197779018 4237737.37878483, 15551681.071651585 4237737.3778347755, 15551681.06995033 4237452.274422785, 15551333.196077766 4237452.275372815))"
6,1923_激しい液状化が生じた地域をおおよそ確定可,"POLYGON ((15551681.06995033 4237452.274422785, 15551681.071651585 4237737.3778347755, 15552028.945524149 4237737.376884722, 15552028.943822892 4237452.273472755, 15551681.06995033 4237452.274422785))"
7,1923_激しい液状化が生じた地域をおおよそ確定可,"POLYGON ((15552028.94212245 4237167.31426886, 15552028.943822892 4237452.273472755, 15552376.817695454 4237452.272522728, 15552376.81599501 4237167.313318857, 15552028.94212245 4237167.31426886))"
8,1923_激しい液状化が生じた地域をおおよそ確定可,"POLYGON ((15552376.81599501 4237167.313318857, 15552376.817695454 4237452.272522728, 15552724.691568019 4237452.271572697, 15552724.689867577 4237167.312368852, 15552376.81599501 4237167.313318857))"
9,1923_激しい液状化が生じた地域をおおよそ確定可,"POLYGON ((15552028.943822892 4237452.273472755, 15552028.945524149 4237737.376884722, 15552376.819396712 4237737.375934667, 15552376.817695454 4237452.272522728, 15552028.943822892 4237452.273472755))"
10,1923_激しい液状化が生じた地域をおおよそ確定可,"POLYGON ((15552376.817695454 4237452.272522728, 15552376.819396712 4237737.375934667, 15552724.69326928 4237737.374984615, 15552724.691568019 4237452.271572697, 15552376.817695454 4237452.272522728))"
11,1923_土地が陥没した地域,"POLYGON ((15552724.689867577 4237167.312368852, 15552724.691568019 4237452.271572697, 15553072.565498555 4237452.27062267, 15553072.56377879 4237167.311418847, 15552724.689867577 4237167.312368852))"
12,1923_土地が陥没した地域,"POLYGON ((15553072.56377879 4237167.311418847, 15553072.565498555 4237452.27062267, 15553420.439429093 4237452.26967264, 15553420.437690005 4237167.310468842, 15553072.56377879 4237167.311418847))"
13,1923_土地が陥没した地域,"POLYGON ((15552724.691568019 4237452.271572697, 15552724.69326928 4237737.374984615, 15553072.567219142 4237737.374034557, 15553072.565498555 4237452.27062267, 15552724.691568019 4237452.271572697))"
14,1923_土地が陥没した地域,"POLYGON ((15553072.565498555 4237452.27062267, 15553072.567219142 4237737.374034557, 15553420.441169009 4237737.3730844995, 15553420.439429093 4237452.26967264, 15553072.565498555 4237452.27062267))"
15,1923_土地が陥没した地域,"POLYGON ((15553420.439429093 4237452.26967264, 15553420.441169009 4237737.3730844995, 15553768.315118875 4237737.372134441, 15553768.313359635 4237452.2687226115, 15553420.439429093 4237452.26967264))"
16,1923_激しい液状化が生じた地域をおおよそ確定可,"POLYGON ((15550985.323829167 4237737.379639891, 15550985.325471628 4238022.353672785, 15551333.199402167 4238022.352793956, 15551333.197779018 4237737.37878483, 15550985.323829167 4237737.379639891))"
17,1923_激しい液状化が生じた地域をおおよそ確定可,"POLYGON ((15550985.325471628 4238022.353672785, 15550985.327114098 4238307.3351076385, 15551333.201025313 4238307.334205039, 15551333.199402167 4238022.352793956, 15550985.325471628 4238022.353672785))"
18,1923_激しい液状化が生じた地域をおおよそ確定可,"POLYGON ((15551333.197779018 4237737.37878483, 15551333.199402167 4238022.352793956, 15551681.073294057 4238022.351843877, 15551681.071651585 4237737.3778347755, 15551333.197779018 4237737.37878483))"
19,1923_激しい液状化が生じた地域をおおよそ確定可,"POLYGON ((15551333.199402167 4238022.352793956, 15551333.201025313 4238307.334205039, 15551681.074936524 4238307.333254936, 15551681.073294057 4238022.351843877, 15551333.199402167 4238022.352793956))"
20,1923_激しい液状化が生じた地域をおおよそ確定可,"POLYGON ((15551333.201025313 4238307.334205039, 15551333.202649236 4238592.459837137, 15551681.076579783 4238592.458887008, 15551681.074936524 4238307.333254936, 15551333.201025313 4238307.334205039))"
21,1923_激しい液状化が生じた地域をおおよそ確定可,"POLYGON ((15551333.202649236 4238592.459837137, 15551333.204272384 4238877.4560579695, 15551681.078222254 4238877.455107817, 15551681.076579783 4238592.458887008, 15551333.202649236 4238592.459837137))"
22,1923_激しい液状化が生じた地域をおおよそ確定可,"POLYGON ((15551681.076579783 4238592.458887008, 15551681.078222254 4238877.455107817, 15552028.952172123 4238877.454157665, 15552028.95051033 4238592.457936883, 15551681.076579783 4238592.458887008))"
23,1923_土地が陥没した地域,"POLYGON ((15553072.567219142 4237737.374034557, 15553072.56890026 4238022.3480198085, 15553420.442830803 4238022.3470459785, 15553420.441169009 4237737.3730844995, 15553072.567219142 4237737.374034557))"
24,1923_土地が陥没した地域,"POLYGON ((15553420.441169009 4237737.3730844995, 15553420.442830803 4238022.3470459785, 15553768.31676135 4238022.346072147, 15553768.315118875 4237737.372134441, 15553420.441169009 4237737.3730844995))"
25,1923_土地が陥没した地域,"POLYGON ((15553768.315118875 4237737.372134441, 15553768.31676135 4238022.346072147, 15554116.190691883 4238022.34509831, 15554116.189068729 4237737.371184373, 15553768.315118875 4237737.372134441))"
26,1923_土地が陥没した地域,"POLYGON ((15553768.31676135 4238022.346072147, 15553768.318403818 4238307.327411808, 15554116.192315038 4238307.326414198, 15554116.190691883 4238022.34509831, 15553768.31676135 4238022.346072147))"
27,1923_土地が陥没した地域,"POLYGON ((15554464.062941294 4237737.370139317, 15554464.064603098 4238022.344053225, 15554811.938514307 4238022.343008139, 15554811.93681386 4237737.369094256, 15554464.062941294 4237737.370139317))"
28,1923_激しい液状化が生じた地域をおおよそ確定可,"POLYGON ((15554116.190691883 4238022.34509831, 15554116.192315038 4238307.326414198, 15554464.066264898 4238307.325369085, 15554464.064603098 4238022.344053225, 15554116.190691883 4238022.34509831))"
29,1923_激しい液状化が生じた地域をおおよそ確定可,"POLYGON ((15554464.064603098 4238022.344053225, 15554464.066264898 4238307.325369085, 15554811.940214755 4238307.324323973, 15554811.938514307 4238022.343008139, 15554464.064603098 4238022.344053225))"
30,1923_土地が陥没した地域,"POLYGON ((15554811.93681386 4237737.369094256, 15554811.938514307 4238022.343008139, 15555159.812425518 4238022.341963052, 15555159.810686424 4237737.368049198, 15554811.93681386 4237737.369094256))"
31,1923_土地が陥没した地域,"POLYGON ((15555159.810686424 4237737.368049198, 15555159.812425518 4238022.341963052, 15555507.686336732 4238022.3409179645, 15555507.684558993 4237737.367004139, 15555159.810686424 4237737.368049198))"
32,1923_土地が陥没した地域,"POLYGON ((15554811.938514307 4238022.343008139, 15554811.940214755 4238307.324323973, 15555159.814164614 4238307.323278859, 15555159.812425518 4238022.341963052, 15554811.938514307 4238022.343008139))"
33,1923_土地が陥没した地域,"POLYGON ((15555159.812425518 4238022.341963052, 15555159.814164614 4238307.323278859, 15555507.688114475 4238307.322233744, 15555507.686336732 4238022.3409179645, 15555159.812425518 4238022.341963052))"
34,1923_激しい液状化が生じた地域をおおよそ確定可,"POLYGON ((15554116.192315038 4238307.326414198, 15554116.193938974 4238592.45195105, 15554464.067927498 4238592.450905911, 15554464.066264898 4238307.325369085, 15554116.192315038 4238307.326414198))"
35,1923_激しい液状化が生じた地域をおおよそ確定可,"POLYGON ((15554464.066264898 4238307.325369085, 15554464.067927498 4238592.450905911, 15554811.94191602 4238592.449860768, 15554811.940214755 4238307.324323973, 15554464.066264898 4238307.325369085))"
36,1923_土地が陥没した地域,"POLYGON ((15554811.940214755 4238307.324323973, 15554811.94191602 4238592.449860768, 15555159.815904547 4238592.448815628, 15555159.814164614 4238307.323278859, 15554811.940214755 4238307.324323973))"
37,1923_土地が陥没した地域,"POLYGON ((15555159.814164614 4238307.323278859, 15555159.815904547 4238592.448815628, 15555507.68989307 4238592.447770489, 15555507.688114475 4238307.322233744, 15555159.814164614 4238307.323278859))"
38,1923_激しい液状化が生じた地域をおおよそ確定可,"POLYGON ((15555855.560247947 4238022.339872881, 15555855.562064333 4238307.321188631, 15556203.436014198 4238307.320143517, 15556203.434159165 4238022.3388277935, 15555855.560247947 4238022.339872881))"
39,1923_激しい液状化が生じた地域をおおよそ確定可,"POLYGON ((15556203.434159165 4238022.3388277935, 15556203.436014198 4238307.320143517, 15556551.309964059 4238307.319098405, 15556551.30807038 4238022.337782706, 15556203.434159165 4238022.3388277935))"
40,1923_激しい液状化が生じた地域をおおよそ確定可,"POLYGON ((15556551.30807038 4238022.337782706, 15556551.309964059 4238307.319098405, 15556899.183913877 4238307.318053286, 15556899.181981562 4238022.336737615, 15556551.30807038 4238022.337782706))"
