,b'\x83{\x81[\x83\x8a\x83\x93\x83O',b'PL\x8b\xe6\x95\xaa',recoords
0,48,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15506403.474048201, 4277369.180382471]]"
1,49,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15506187.021062562, 4277788.729732586]]"
2,50,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15505846.879650068, 4278246.43849973]]"
3,53,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15506248.864678169, 4277636.164440833]]"
4,60,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15504736.156669786, 4278197.616002802]]"
5,61,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15503336.618552798, 4277490.849612179]]"
6,62,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15503886.415805595, 4277959.225314965]]"
7,91,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15506090.541047893, 4277129.281977597]]"
8,92,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15506064.875374556, 4277077.412783699]]"
9,93,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15506104.146620726, 4277104.872840187]]"
10,95,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15505723.183414659, 4276530.130865904]]"
11,96,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15505692.261949807, 4276682.6806302]]"
12,97,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15505630.417871496, 4276720.818458953]]"
13,98,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15506001.483422356, 4276720.818193711]]"
14,101,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15504198.10638825, 4276969.861878367]]"
15,102,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15504179.859552486, 4276330.675768841]]"
16,103,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15502092.927515637, 4276660.561935858]]"
17,104,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15502113.33600807, 4276648.357782432]]"
18,105,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15502131.889498008, 4276708.615414283]]"
19,106,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15502084.269627975, 4276734.167751957]]"
20,107,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15502337.83225636, 4277042.326302861]]"
21,149,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15559255.619880307, 4275365.092672415]]"
22,158,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15559240.7765072, 4275230.865044993]]"
23,159,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15558628.518221734, 4275253.745401901]]"
24,160,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15558534.823903315, 4275206.461097117]]"
25,161,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15558568.837908031, 4275128.670887451]]"
26,162,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15558541.626358092, 4275119.519249082]]"
27,163,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15558521.836127663, 4275117.231350435]]"
28,164,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15558518.125165503, 4275056.601227577]]"
29,165,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15558601.615155099, 4275101.597023852]]"
30,166,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15558602.233363887, 4275057.745040491]]"
31,182,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15505661.33573909, 4275805.548825947]]"
32,183,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15505846.867034445, 4275500.475799308]]"
33,184,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15504004.528969279, 4275845.590672725]]"
34,185,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15504104.098357026, 4275887.157694802]]"
35,186,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15504040.398625555, 4275865.802114813]]"
36,187,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15503836.931247817, 4275881.818899058]]"
37,188,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15503589.554654097, 4275958.08900104]]"
38,189,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15503589.554840311, 4275996.224221075]]"
39,276,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15564918.079524415, 4274608.5497636525]]"
40,280,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15564614.423499739, 4274541.441002208]]"
41,282,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15564693.27590339, 4274672.609467576]]"
42,283,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15564910.349287525, 4274647.0615738835]]"
43,284,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15564897.67059455, 4274556.31122864]]"
44,285,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15564598.961053196, 4274318.381766186]]"
45,286,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15564568.03941403, 4274394.640858278]]"
46,287,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15564784.494682362, 4274432.770175437]]"
47,288,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15564722.65086788, 4274509.030261047]]"
48,291,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15564439.093358636, 4274289.785037337]]"
49,296,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15564453.005663142, 4273854.357107954]]"
50,298,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15563948.977146145, 4274276.822071392]]"
51,299,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15563748.910664827, 4274261.951996452]]"
52,300,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15564442.80555186, 4274535.34050283]]"
53,323,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15564523.512888646, 4274628.759700524]]"
54,324,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15564315.092712052, 4273836.437318554]]"
55,325,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15564328.08006572, 4273833.387104007]]"
56,326,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15564329.318716912, 4274131.931131372]]"
57,327,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15564328.081584731, 4274076.263320975]]"
58,330,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15564444.350834427, 4274394.641115954]]"
59,346,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15561902.54637553, 4273816.233057854]]"
60,352,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15560322.427007522, 4274153.288885097]]"
61,364,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15560092.366426064, 4274174.260095133]]"
62,365,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15560050.930548383, 4274119.735959328]]"
63,366,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15559043.486885639, 4274036.235418535]]"
64,400,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15559118.321328264, 4274562.802032865]]"
65,401,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15559192.227017695, 4274897.591020943]]"
66,402,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15559031.735954436, 4273934.814338802]]"
67,403,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15558973.602568513, 4273985.143547167]]"
68,404,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15558939.587922905, 4273925.663628944]]"
69,405,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15558966.180806346, 4273903.168125316]]"
70,406,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15559455.987832485, 4273991.2435804345]]"
71,449,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15557543.145793505, 4274228.024895057]]"
72,452,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15558113.969624937, 4274451.463296298]]"
73,453,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15558169.011056034, 4274438.880292837]]"
74,454,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15557586.435801294, 4274040.4311593855]]"
75,455,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15557536.03291297, 4274072.84042901]]"
76,460,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15507999.348091379, 4273992.396962836]]"
77,462,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15507430.381751744, 4274104.494997112]]"
78,463,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15507364.208235355, 4274062.934824426]]"
79,465,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15506846.264542742, 4274424.780841339]]"
80,466,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15506899.141275065, 4274409.910169803]]"
81,467,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15506279.767945617, 4273749.904592739]]"
82,469,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15506341.612204783, 4273746.473169245]]"
83,470,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15506403.456547435, 4273784.600555041]]"
84,473,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15506248.845860995, 4273746.473240805]]"
85,474,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15506248.845860995, 4273746.473240805]]"
86,477,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15503098.502759436, 4274048.446920313]]"
87,478,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15503096.95634651, 4273984.01002003]]"
88,479,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15503177.353714019, 4273944.356714519]]"
89,486,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15502075.599536112, 4274109.834018943]]"
90,487,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15502200.525502922, 4274243.666618369]]"
91,489,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15502472.32890257, 4273802.5209585875]]"
92,490,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15502472.638062105, 4273802.1397443935]]"
93,491,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15502630.959764611, 4273898.984293081]]"
94,575,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15567048.915235749, 4272786.063939276]]"
95,589,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15566978.721512178, 4272718.203477864]]"
96,590,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15566983.35978231, 4272712.103627472]]"
97,595,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15564454.549405266, 4273464.698081142]]"
98,596,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15563403.197285485, 4273655.333646421]]"
99,604,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15564401.361959461, 4273248.904736504]]"
100,631,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15564141.612156771, 4272680.085208282]]"
101,636,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15564204.694556551, 4272851.643002066]]"
102,640,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15564167.281209461, 4273255.767827938]]"
103,641,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15563428.856668688, 4272698.385634894]]"
104,642,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15564302.409582287, 4273003.759690212]]"
